2026-06-07 08:46:29.217 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:29.330 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:29.432 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:29.536 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:29.651 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:29.764 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:29.870 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:29.969 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:30.065 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:30.174 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:30.266 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:30.379 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:30.486 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:30.580 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:30.664 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:30.736 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:30.819 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:30.921 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:31.056 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:31.162 | DEBUG    | analysis.rhythm_analyzer:_detect_onset_in_buffer:90 - Onset detected at t=3.228s
2026-06-07 08:46:31.176 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:31.284 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:31.383 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:31.477 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:31.582 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:31.673 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:31.769 | DEBUG    | analysis.rhythm_analyzer:_detect_onset_in_buffer:90 - Onset detected at t=3.361s
2026-06-07 08:46:31.787 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
2026-06-07 08:46:31.883 | ERROR    | analysis.rhythm_analyzer:_estimate_tempo:114 - Tempo estimation error: only 0-dimensional arrays can be converted to Python scalars
